StartTime: 2017-08-04 14:25:47.082
Time(s)	ChipTime	ax(g)	ay(g)	az(g) 
5.282	2015-01-01 00:01:39.320	0.1060	-0.0947	1.2769 
5.282	2015-01-01 00:01:39.340	0.1333	-0.0723	1.4087 
5.306	2015-01-01 00:01:39.360	0.1494	-0.2197	1.2417 
5.306	2015-01-01 00:01:39.380	0.1855	-0.2510	1.1411 
5.322	2015-01-01 00:01:39.400	-0.0317	-0.2461	1.3506 
5.337	2015-01-01 00:01:39.420	-0.2295	-0.4443	1.3521 
5.399	2015-01-01 00:01:39.440	-0.2891	-0.4541	1.0210 
5.426	2015-01-01 00:01:39.460	-0.1929	-0.2075	0.7236 
5.426	2015-01-01 00:01:39.480	-0.0840	0.0483	0.7046 
5.426	2015-01-01 00:01:39.500	-0.0972	0.0083	0.8809 
5.446	2015-01-01 00:01:39.520	-0.2090	-0.2720	1.1245 
5.461	2015-01-01 00:01:39.540	-0.2769	-0.4214	1.1924 
5.477	2015-01-01 00:01:39.560	-0.2505	-0.2871	1.0601 
5.493	2015-01-01 00:01:39.580	-0.1416	-0.0894	0.9585 
5.508	2015-01-01 00:01:39.600	-0.0854	0.0161	1.0469 
5.565	2015-01-01 00:01:39.620	-0.0571	0.1245	0.9868 
5.658	2015-01-01 00:01:39.640	-0.0161	0.1479	0.8740 
5.666	2015-01-01 00:01:39.660	-0.0063	0.0864	0.8721 
5.740	2015-01-01 00:01:39.680	-0.0249	0.0146	0.9351 
5.741	2015-01-01 00:01:39.700	-0.0259	-0.0479	0.9561 
5.741	2015-01-01 00:01:39.720	0.0015	-0.0981	0.9102 
5.741	2015-01-01 00:01:39.740	0.0244	-0.1050	0.9409 
5.742	2015-01-01 00:01:39.760	0.0259	-0.0708	0.9941 
5.742	2015-01-01 00:01:39.780	0.0161	-0.0547	1.0098 
5.742	2015-01-01 00:01:39.800	0.0391	-0.0444	0.9434 
5.743	2015-01-01 00:01:39.820	0.0977	-0.0400	0.9121 
5.756	2015-01-01 00:01:39.840	0.1079	-0.0386	0.9619 
5.867	2015-01-01 00:01:39.860	0.1304	-0.0117	0.9409 
5.941	2015-01-01 00:01:39.880	0.1548	0.0029	0.9233 
5.941	2015-01-01 00:01:39.900	0.1631	-0.0474	0.9766 
5.944	2015-01-01 00:01:39.920	0.1553	-0.0518	0.9531 
5.945	2015-01-01 00:01:39.940	0.0967	0.0093	0.9648 
5.945	2015-01-01 00:01:39.960	0.0669	-0.0537	1.0537 
5.958	2015-01-01 00:01:39.980	0.0376	-0.0938	1.1387 
5.958	2015-01-01 00:01:40.000	0.1274	-0.0864	1.2173 
5.959	2015-01-01 00:01:40.020	0.2734	-0.0908	1.1763 
5.959	2015-01-01 00:01:40.040	0.3735	-0.1099	1.1328 
6.097	2015-01-01 00:01:40.060	0.1870	0.0322	1.2061 
6.161	2015-01-01 00:01:40.080	-0.0249	0.0630	1.2617 
6.161	2015-01-01 00:01:40.100	-0.2100	-0.0376	1.4111 
6.162	2015-01-01 00:01:40.120	-0.3325	-0.0889	1.4097 
6.162	2015-01-01 00:01:40.140	-0.3408	-0.0771	1.0659 
6.245	2015-01-01 00:01:40.160	-0.1367	-0.0986	0.6455 
6.245	2015-01-01 00:01:40.180	0.0278	-0.1206	0.7500 
6.247	2015-01-01 00:01:40.200	-0.0566	-0.0835	1.2109 
6.303	2015-01-01 00:01:40.220	-0.1055	0.0405	1.2256 
6.303	2015-01-01 00:01:40.240	-0.0244	0.0376	0.8945 
6.329	2015-01-01 00:01:40.260	0.0020	-0.0513	0.7896 
6.330	2015-01-01 00:01:40.280	-0.0459	-0.2305	0.8140 
6.330	2015-01-01 00:01:40.300	-0.0264	-0.3262	0.8027 
6.330	2015-01-01 00:01:40.320	0.0190	-0.3535	0.8633 
6.330	2015-01-01 00:01:40.340	-0.0547	-0.3809	1.0264 
6.330	2015-01-01 00:01:40.360	-0.0957	-0.3853	1.0405 
6.331	2015-01-01 00:01:40.380	-0.0322	-0.3052	0.9478 
6.331	2015-01-01 00:01:40.400	0.0171	-0.1982	0.9160 
6.345	2015-01-01 00:01:40.420	0.0229	-0.1016	0.9668 
6.385	2015-01-01 00:01:40.440	0.0034	-0.0835	0.9771 
6.420	2015-01-01 00:01:40.460	-0.0234	-0.1260	0.9683 
6.421	2015-01-01 00:01:40.480	0.0093	-0.1187	0.9780 
6.438	2015-01-01 00:01:40.500	0.0337	-0.1060	0.9980 
6.438	2015-01-01 00:01:40.520	0.0283	-0.1499	0.9517 
6.454	2015-01-01 00:01:40.540	0.0576	-0.2134	0.9458 
6.512	2015-01-01 00:01:40.560	0.0864	-0.2573	0.9434 
6.531	2015-01-01 00:01:40.580	0.0942	-0.2524	0.8979 
6.531	2015-01-01 00:01:40.600	0.1230	-0.2466	0.8955 
6.531	2015-01-01 00:01:40.620	0.1250	-0.1948	0.9805 
6.546	2015-01-01 00:01:40.640	0.0928	-0.1128	0.9819 
6.630	2015-01-01 00:01:40.660	0.0894	-0.1104	0.9614 
6.672	2015-01-01 00:01:40.680	0.0923	-0.1816	0.9658 
6.672	2015-01-01 00:01:40.700	0.0620	-0.2773	1.0107 
